11975	SM112166	negative	Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.
10772	SM111667	neutral	ard $1000\u002c 2 times a wk. they already confirm
10979	SM114027	neutral	Hmm... Mon afternoon i got to go sch for a briefing... U wanna come back on tue or u wanna stay there even longer? Or come back tmr oso can.
12149	SM115515	neutral	We eating at science\u002c u want to eat?
11968	SM113027	neutral	Ok i also wan 2 watch e 9 pm show...
10478	SM112964	neutral	Where are you? still on bed blur-blur.
10578	SM112810	positive	U r just like my friends? I made them feel warm\u002c happy\u002c then make them angry & they cry? Finally they left me? Will u leave 2? I hope not. Really hope so.
11839	SM111359	positive	Haha... Hope Ã¼ can hear the receipt sound... Gd luck!
11581	SM112650	neutral	Hey... How come u rent out ur hse again ah...
10734	SM113737	positive	just chked my emails onli... haha...
11000	SM113453	negative	Heh? Then ur mum not working ah? Or ur dad will be at hm? Sob... I very bored... Else i go ur hse?
10924	SM114458	neutral	no..sunday is family day for me...haveta spend time wif parents...
12084	SM113719	positive	Ok no prob... I\u2019ll come after lunch then...
12223	SM113119	positive	Happy 22nd birthday... May all ur wishes come true\u002c stay pretty all time\u002c successes in ur career\u002c romances fall on u... Stay happy n enjoy ur birthday...
10851	SM114852	neutral	U can still call my hp\u002c on autoroam. My Aust Add - Unilodge Sydney Cnr Bay St & Broadway\u002c Broadway NSW 200700 Tel 61 2 93385000
11162	SM114844	neutral	i call them and they told me they are only sending my mom\u2019s one as me and my bro are not taxable. Supose to rcv this month but havent got it yet..
11807	SM111860	positive	Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again
11435	SM112281	positive	U wan come out later? All of us going out later. Join us lah.
10114	SM111316	negative	cannot . i dont have it with me now
10510	SM112747	positive	like 15 lor really!
12192	SM112898	neutral	When we confirm when we meeting then we arrange time again.
11705	SM111693	positive	Ya... Morn... My sis said it\u2019s on e mountain\u002c haha\u002c have to check map liao...
11585	SM113314	neutral	Yupz... Nvm\u002c i\u2019ll just wait there...
11364	SM111823	negative	Havent yet. Think ard 8 plus n eat until 10 plus lah. Is it convenient if i come ard 10plus?
10657	SM113802	neutral	if singapore too exp\u002c we go kl buy next time. Then can go genting to play amusement park
11383	SM111362	neutral	Wat time u want me to come over?
10263	SM115319	neutral	hi\u002c u watched infernal affairs 3\u002c want to watch tog nxt wk? can ask others also
10243	SM115027	positive	If the walls had eyes\u002c aye\u002c they would see the love inside. They would see\u002c me in your arms in ectasy. And\u002c with every move\u002c they know\u002c i love you so
10583	SM113936	neutral	INSTRUMENTAL? w. all those violin\u002c & so on. I havent got on a bus how 2 go 1st lah? I think u go 1st la?
10929	SM114921	neutral	dear\u002c do u know what is lviii? translate to number?
11772	SM111879	neutral	Oh okie... I\u2019ll come right away... I\u2019m at s2... So i\u2019ll cya at e canteen...
10780	SM114713	neutral	yeah i dun think i have anything else to write. u?
11836	SM112496	neutral	Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?
11826	SM114827	neutral	Hey come online! Use msn... We are all there
11093	SM115200	positive	Gd morn! Have a great and blessed day ahead
11900	SM111459	neutral	I\u2019m in a movie. Call me 4 wat?
10431	SM112472	neutral	i will give u a call! ok? :)
11748	SM111407	positive	Hey u wana meet at someplace den go look 4 e classroom... Mayb at e canteen or somethg...
10017	SM112054	positive	dun forget u still owe me a treat ah..haha
11590	SM114282	positive	Wow... U got into archi... Tt\u2019s gd\u002c heard it\u2019s diff to get in...Me in nus sci lor...
10392	SM114252	negative	Oh no now look like gonna rain
11424	SM113470	neutral	U hv 2 upload or use tomcat its a program t act as a server offline.
11096	SM115479	neutral	Are you free to go out this sunday? My club is having a performance at musicdreamer at 7.30pm
10483	SM115126	negative	I just finished my work. My foot injured just now. so painful. good night see you
10763	SM113986	positive	ok loh mit then decide.see ya later!!
11240	SM111739	neutral	please meet me outside lt27 to get your stuff.
10354	SM111966	neutral	xy:Most prob i got 2 work. I duno meet where\u002c most prob town lor
10396	SM113101	positive	Yup! Tomorrow\u2019s match is very important. If we win it we\u2019ll definitely get into round 2...
10909	SM113797	negative	I am sorry...dint mean it this way
11759	SM113953	positive	No la... Other pple wld have slam e fone oredi\u002c haha\u002c at least u still entertain me...
11154	SM115320	negative	not sure
11753	SM113742	neutral	Daddy... Fetch me together w jue... I surf net in sch...
11902	SM114205	negative	Can. Dunno wat to get 4 her...
12095	SM112147	neutral	Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...
11239	SM113565	negative	argh! i went to the wrong lt\u002c now going to lt33.
11430	SM113146	neutral	Okie... Then meet at orchard...
11960	SM112082	negative	Aiyar sorry lor forgot 2 tell u...
10680	SM111871	neutral	do we have to file for grad now?
11710	SM112877	positive	It\u2019s somethin like nus version of chingay lor... If u wan can go c c lor...
10222	SM114595	neutral	Then meet 130 jubilee.
12099	SM115259	negative	Huh so fast... Dat means u havent finished painting?
11248	SM114243	positive	ok\u002c see you later on when you are free.
11543	SM114170	negative	Expected he will know cos u will tell him. But didnt know its so fast =) but if act as if i got bf also not gd. Deprive me of other chances haha...
10113	SM113276	negative	me in class now. wats up ? cannot talk. call u when i finish
