class	tweet_id	id	Created_at	truncated	source	tweet_text	favorited	in_reply_to_screen_id	in_reply_to_user_id	screen_name	user_id	tweet_updatedtext
0	25945725503	9998532	2010-09-30 00:00:00	false	web	"iya dong hahaha. ayo foto""@abhaibewok"	false			ddedebby	83777745	"iya dong hahaha. ayo foto""@abhaibewok"
0	25945725707	9998542	2010-09-30 00:00:00	false	web	Que semana mais estramb�lica!	false			jdepoli	60467129	Que semana mais estramb�lica!
0	25945725908	9998560	2010-09-30 00:00:00	false	web	@NicholasCaceres Por que tienen diferentes iconos @adammoperu?	false		15759986	AndreaHiga	29884464	@NicholasCaceres Por que tienen diferentes iconos @adammoperu?
0	25945726007	9998564	2010-09-30 00:00:00	false	"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>"	please give my voice back.. :(	false			BiebsLoveUs	177565013	please give my voice back.. :(
-1	25945726102	9998569	2010-09-30 00:00:00	false	"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>"	all they do is call ya nme in dis house	false			M_Hall5	125819606	all they do is call ya nme in dis house
-1	25945726106	9998571	2010-09-30 00:00:00	false	web	@heatherraescott No sympathy. No money. No communication. He needs to think about what an ass he is. I'm disgusted w/him.	false		15818649	Annmarie_A34	15343513	@heatherraescott No sympathy. No money. No communication. He needs to think about what an ass he is. I'm disgusted w/him.
-1	25945726204	9998578	2010-09-30 00:00:00	false	web	"@UnColiriosTeen_ , brigado pela indica��o *--*"	false		194785175	RamonScoparo	115144979	"@UnColiriosTeen_ , brigado pela indica��o *--*"
0	25945726200	9998579	2010-09-30 00:00:00	false	"<a href=""http://www.ubertwitter.com/bb/download.php"" rel=""nofollow"">�berTwitter</a>"	@aWellDressedBum I got www.shoejocky.com check it out	false		30924848	VONBROWN	73864410	@aWellDressedBum I got www.shoejocky.com check it out
0	25945726403	9998590	2010-09-30 00:00:00	false	web	"@flaviagraz me liga a meia noite, me ama faz 7 anos :x"	false		174336241	diihjohnson	159500881	"@flaviagraz me liga a meia noite, me ama faz 7 anos :x"
-1	25945726405	9998597	2010-09-30 00:00:00	true	web	"RT @tovotenulo: @BruhhGuimaraes � assim mesmo, quando os candidatos s�o fracos, ruins, falta convic��o at� dos cabos eleitorais contrata ..."	false			tovotenulo	171222467	"RT @tovotenulo: @BruhhGuimaraes � assim mesmo, quando os candidatos s�o fracos, ruins, falta convic��o at� dos cabos eleitorais contrata ..."
1	25945726009	9998598	2010-09-30 00:00:00	false	"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>"	Fuck yeah! A new Angry Birds update for my iPhone. New levels. Can't wait to be obsessed again. Haha.	false			jaymzdj	21719567	Fuck yeah! A new Angry Birds update for my iPhone. New levels. Can't wait to be obsessed again. Haha.
-1	25945726100	9998603	2010-09-30 00:00:00	false	web	@Sutareli decepcionou por que � o mesmo dos outros 3 filmes da franquia.	false		51621808	WiLLaNdEr	96866718	@Sutareli decepcionou por que � o mesmo dos outros 3 filmes da franquia.
-1	25945726108	9998606	2010-09-30 00:00:00	false	web	@vjgaliciap ese villano siempre haciendo juicios contra mi. Esto le va a pesar.	false		13394692	corderoPH	172370293	@vjgaliciap ese villano siempre haciendo juicios contra mi. Esto le va a pesar.
-1	25945726600	9998611	2010-09-30 00:00:00	false	"<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>"	@Mizzfittscloset so that means you don't like anyone else?!	false		64925184	stickinrink79	137549383	@Mizzfittscloset so that means you don't like anyone else?!
-1	25945726605	9998613	2010-09-30 00:00:00	false	"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>"	"You are broke and people are saying the phrase ""Oh you fancy huh"" to you. Nah ""You Broke huh"""	false			CT___	112269426	"You are broke and people are saying the phrase ""Oh you fancy huh"" to you. Nah ""You Broke huh"""
